Group	name
Otu00001	LD12
Otu00002	Luna1-A2
Otu00003	unc_Rhodobacteraceae
Otu00004	acI-B1
Otu00005	acI-C2
Otu00006	Luna1-A1
Otu00007	acIII-A1
Otu00008	Acinetobacter
Otu00009	Hydrogenophaga
Otu00010	
Otu00011	Nodosilinea_PCC-7104
Otu00012	Erysipelotrichaceae_UCG-004
Otu00013	GWA2-38-13b_Parcubacteria
Otu00014	
Otu00015	Halomonas
Otu00016	Nitriliruptoraceae
Otu00017	acIII-A1
Otu00018	Iluma-A1
Otu00019	Comamonadaceae
Otu00020	Flavo-A3
Otu00021	Methylophilaceae
Otu00022	bacIII
Otu00023	
Otu00024	Luna1-A1
Otu00025	bacV
Otu00026	
Otu00027	Exiguobacterium
Otu00028	Lhab-A3
Otu00029	
Otu00030	
Otu00031	
Otu00032	Nitriliruptoraceae
Otu00033	
Otu00034	
Otu00035	
Otu00036	Ilumatobacter
Otu00037	
Otu00038	hgcI_clade(95)
Otu00039	Methylotenera
Otu00040	Cyanobium_PCC-6307
Otu00041	
Otu00042	
Otu00043	
Otu00044	
Otu00045	
Otu00046	
Otu00047	
Otu00048	
Otu00049	
Otu00050	
Otu00051	
Otu00052	
Otu00053	
Otu00054	
Otu00055	
Otu00056	
Otu00057	
Otu00058	
Otu00059	
Otu00060	
Otu00061	
Otu00062	
Otu00063	
Otu00064	
Otu00065	Cyanobiaceae
Otu00066	
Otu00067	
Otu00068	
Otu00069	Synechococcus_CC9902
Otu00070	
Otu00071	Planktosalinus
Otu00072	
Otu00073	
Otu00074	
Otu00075	
Otu00076	
Otu00077	
Otu00078	
Otu00079	
Otu00080	
Otu00081	
Otu00082	
Otu00083	
Otu00084	
Otu00085	
Otu00086	
Otu00087	
Otu00088	
Otu00089	
Otu00090	
Otu00091	
Otu00092	
Otu00093	
Otu00094	
Otu00095	
Otu00096	
Otu00097	
Otu00098	
Otu00099	
Otu00100	
Otu00101	
Otu00102	
Otu00103	
Otu00104	
Otu00105	
Otu00106	
Otu00107	
Otu00108	
Otu00109	
Otu00110	
Otu00111	
Otu00112	
Otu00113	
Otu00114	
Otu00115	
Otu00116	
Otu00117	
Otu00118	
Otu00119	
Otu00120	
Otu00121	
Otu00122	
Otu00123	
Otu00124	
Otu00125	
Otu00126	
Otu00127	
Otu00128	
Otu00129	
Otu00130	
Otu00131	
Otu00132	
Otu00133	
Otu00134	
Otu00135	
Otu00136	
Otu00137	
Otu00138	
Otu00139	
Otu00140	
Otu00141	
Otu00142	
Otu00143	
Otu00144	
Otu00145	
Otu00146	
Otu00147	
Otu00148	
Otu00149	
Otu00150	
Otu00151	
Otu00152	
Otu00153	
Otu00154	
Otu00155	
Otu00156	
Otu00157	
Otu00158	
Otu00159	
Otu00160	
Otu00161	
Otu00162	
Otu00163	
Otu00164	
Otu00165	
Otu00166	
Otu00167	
Otu00168	
Otu00169	
Otu00170	
Otu00171	
Otu00172	
Otu00173	
Otu00174	
Otu00175	
Otu00176	
Otu00177	
Otu00178	
Otu00179	
Otu00180	
Otu00181	
Otu00182	
Otu00183	
Otu00184	
Otu00185	
Otu00186	
Otu00187	
Otu00188	
Otu00189	
Otu00190	
Otu00191	
Otu00192	
Otu00193	
Otu00194	
Otu00195	
Otu00196	
Otu00197	
Otu00198	
Otu00199	
Otu00200	
Otu00201	
Otu00202	
Otu00203	
Otu00204	
Otu00205	
Otu00206	
Otu00207	
Otu00208	
Otu00209	
Otu00210	
Otu00211	
Otu00212	
Otu00213	
Otu00214	
Otu00215	
Otu00216	
Otu00217	
Otu00218	
Otu00219	
Otu00220	
Otu00221	
Otu00222	
Otu00223	
Otu00224	
Otu00225	
Otu00226	
Otu00227	
Otu00228	
Otu00229	
Otu00230	
Otu00231	
Otu00232	
Otu00233	
Otu00234	
Otu00235	
Otu00236	
Otu00237	
Otu00238	
Otu00239	
Otu00240	
Otu00241	
Otu00242	
Otu00243	
Otu00244	
Otu00245	
Otu00246	
Otu00247	
Otu00248	
Otu00249	
Otu00250	
Otu00251	
Otu00252	
Otu00253	
Otu00254	
Otu00255	
Otu00256	
Otu00257	
Otu00258	
Otu00259	
Otu00260	
Otu00261	
