Group,type,Salinity,pH,Na,K,Ca,Mg,Cl,SO4,HCO3_CO3,Depth,SamplingDepth,Temperature,DO,Chl-a,TOC,DOC,Continent,Site,Long,Lat
01Boddi18,soda-saline,5,9.2,96.5,0.3,1.1,2.1,46.5,8.7,44.7,0.12,0.01,19.9,9.2,?,?,?,Europe,Carpathian_Basin,19.15012,46.76783
01T,saline,12.3,9.3,96.2,1,0,2.8,71.1,23.3,5.6,0.04,0.01,18.7,10.4,5.5,42.7,35.9,Europe,Carpathian_Basin,18.55014,46.98536
02S,saline,2.4,8.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Asia,Balkhash-Alakol_Depression,76.29051,46.57123
02Soser18,soda,3.8,8.7,97.3,0,0.9,1.8,35.8,8.2,56,0.42,0.01,20.5,4.3,?,?,?,Europe,Carpathian_Basin,19.14465,46.78902
02T,saline,11.1,9.5,73.1,5.4,0,21.5,32.9,49.5,17.6,0.06,0.01,23.3,13.4,18.9,257.1,236.8,Europe,Carpathian_Basin,18.55446,46.97152
03KolonK18,freshwater,0.4,7.9,?,?,?,?,?,?,?,1.85,0.01,21.2,6.3,?,?,?,Europe,Carpathian_Basin,19.34028,46.76056
03T,soda,3.1,9.4,95.5,0,1.5,3.1,20.3,12.9,66.7,0.06,0.01,18.6,10.6,23.1,68.7,37.3,Europe,Carpathian_Basin,20.02993,46.54784
04KolonT18,freshwater,0.2,7.2,?,?,?,?,?,?,?,1.6,0.01,21.2,6.6,?,?,?,Europe,Carpathian_Basin,19.34028,46.76056
04S,saline,2.1,8.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Asia,Balkhash-Alakol_Depression,75.97485,46.58086
04T,soda,1.8,9.7,68.9,0.5,0,30.6,14.2,8.2,77.7,0.23,0.01,16.3,11.2,2.9,40.3,37.6,Europe,Carpathian_Basin,20.04093,46.52388
05Szelid18,soda,1.8,8.7,77.3,0.5,5.7,16.5,40.7,4.2,55.1,4.7,0.01,20,6.9,?,?,?,Europe,Carpathian_Basin,19.044,46.629
05T,soda,1.6,9.1,88.4,0,1.9,9.8,25.1,2.9,72,0.31,0.01,16.8,15.8,102.8,51.3,41.2,Europe,Carpathian_Basin,20.06296,46.5705
06Rusanda18,soda,15,9.6,94.6,1.9,1.2,2.3,29.4,32.7,37.9,0.15,0.01,23.9,8.1,?,?,?,Europe,Carpathian_Basin,20.29114,45.52872
06S,saline,1.2,8.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Asia,Balkhash-Alakol_Depression,74.98802,46.40668
06T,soda,2.9,9.3,97.3,0,0.9,1.8,35.8,8.2,56,0.13,0.01,23.9,9.2,19.2,159.3,136.4,Europe,Carpathian_Basin,19.14618,46.78886
07SlanoKopovo18,soda-saline,3.9,9,94.5,0.5,2.4,2.6,48.4,21,30.5,0.2,0.01,19,8.7,?,?,?,Europe,Carpathian_Basin,20.20409,45.62836
07T,soda-saline,5.5,9.6,99.9,0,0.1,0,51.6,8.9,39.4,0.11,0.01,23.8,9.4,136.1,71.8,39.6,Europe,Carpathian_Basin,19.15252,46.76392
08S,saline,1.2,8.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Asia,Balkhash-Alakol_Depression,73.73276,46.01445
08T,soda-saline,4.6,9.7,99.9,0,0.1,0,54.2,5.2,40.6,0.11,0.01,23.3,9.1,60.9,54,24.3,Europe,Carpathian_Basin,19.15331,46.76588
08VBK18,soda,3.4,9.5,97.4,0.4,0.7,1.5,30.6,9.7,59.7,0.42,0.01,20,9.3,?,?,?,Europe,Carpathian_Basin,19.18047,46.76363
09Kelemen18,soda,2.1,9.3,95.6,0.6,1.4,2.4,35.5,7.1,57.4,0.17,0.01,21.4,8.7,?,?,?,Europe,Carpathian_Basin,19.174,46.79822
09S,freshwater,0.2,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Asia,Balkhash-Alakol_Depression,74.83127,46.82475
09T,soda,1.5,9.5,91.5,0,7.3,1.2,34.1,5.6,60.3,0.12,0.01,21.6,9,25.5,90.6,14.6,Europe,Carpathian_Basin,19.18631,46.79475
0S,saline,1.2,8.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Asia,Balkhash-Alakol_Depression,76.47094,46.61498
10T,soda,3.3,9.5,98.1,0,0,1.9,37.6,6.4,56,0.05,0.01,19,9.5,32.4,32.8,28.7,Europe,Carpathian_Basin,19.17758,46.7994
10Zab18,soda,3,9.5,97,0.4,1,1.6,26.3,6.9,66.8,0.38,0.01,26,8.6,?,?,?,Europe,Carpathian_Basin,19.17138,46.8365
11S,saline,3.3,8.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Asia,Balkhash-Alakol_Depression,74.95828,46.82427
11T,soda,1.5,9.5,84.9,0.5,11.4,3.2,16.8,4.2,79,0.07,0.01,14.1,10.1,27.9,61.2,18.6,Europe,Carpathian_Basin,19.1671,46.86266
12KH18,soda,1.6,8.4,54.8,2.6,3.9,38.6,26.3,30.8,42.9,0.89,0.01,23.7,5.9,?,?,?,Europe,Carpathian_Basin,16.71409,47.69231
12T,soda,1.5,9.7,91.4,0,7.1,1.5,27,5.2,67.8,0.11,0.01,14.5,10.4,15.3,27.1,14.4,Europe,Carpathian_Basin,19.17682,46.83956
13FertoB018,soda,1.4,9,56,2.6,2.4,39,27.5,32.3,40.2,1.55,0.01,23.1,8.1,?,?,?,Europe,Carpathian_Basin,16.72094,47.73356
13T,soda,1.8,9.6,95.1,0,3.9,1,26.5,4.7,68.8,0.05,0.01,17,9.9,20.9,56.9,42.5,Europe,Carpathian_Basin,19.17471,46.82859
14T,soda,5,9.1,97.3,0,0.6,2,24.9,11.7,63.4,0.15,0.01,24.2,8.1,0,51.6,10,Europe,Carpathian_Basin,20.62655,46.47229
14VelenceiKo18,soda,2.6,8.9,44.2,3.2,0,52.6,24.9,36.3,38.7,2.23,0.01,22.2,9.1,?,?,?,Europe,Carpathian_Basin,18.60335,47.20643
15Dinnyesi18,soda,2.4,9,51.9,3.1,0,45,28.4,24.7,46.8,0.71,0.01,24.3,13.9,?,?,?,Europe,Carpathian_Basin,18.54645,47.17112
15T,soda,5.1,9,96.1,0,1.1,2.8,24.1,11.4,64.5,0.13,0.01,26.3,8.2,0,66.6,49.8,Europe,Carpathian_Basin,20.62993,46.47189
16T,freshwater,0.3,8.3,17.5,1.1,51.8,29.7,14.8,16.6,68.6,0.15,0.01,21.8,10.6,14,5.7,4,Europe,Carpathian_Basin,19.11327,47.15685
16VelenceiNy18,soda,2,8.1,44.5,3.2,0,52.3,25.4,37,37.6,1.72,0.01,23.1,3.3,?,?,?,Europe,Carpathian_Basin,18.56068,47.19983
