Group	name
Otu00001	alfV
Otu00002	acIII
Otu00003	Luna1
Otu00004	Rhodobacteraceae
Otu00005	Comamonadaceae
Otu00006	Rhodobacteraceae
Otu00007	Luna1
Otu00008	betI
Otu00009	acI
Otu00010	
Otu00011	acI
Otu00012	
Otu00013	
Otu00014	Halomonadaceae
Otu00015	Cyanobiaceae
Otu00016	bacII
Otu00017	
Otu00018	
Otu00019	
Otu00020	
Otu00021	acI
Otu00022	GWA2-38-13b_Parcubacteria
Otu00023	
Otu00024	
Otu00025	Methylophilaceae
Otu00026	
Otu00027	Nitriliruptoraceae
Otu00028	Luna1
Otu00029	
Otu00030	
Otu00031	
Otu00032	
Otu00033	
Otu00034	
Otu00035	Nitriliruptoraceae
Otu00036	
Otu00037	
Otu00038	
Otu00039	
Otu00040	
Otu00041	
Otu00042	
Otu00043	
Otu00044	
Otu00045	
Otu00046	
Otu00047	
Otu00048	
Otu00049	
Otu00050	
Otu00051	
Otu00052	
Otu00053	
Otu00054	
Otu00055	
Otu00056	
Otu00057	
Otu00058	
Otu00059	Ilumatobacteraceae
Otu00060	
Otu00061	
Otu00062	
Otu00063	
Otu00064	
Otu00065	
Otu00066	Cyanobiaceae
Otu00067	
Otu00068	
Otu00069	
Otu00070	
Otu00071	
Otu00072	
Otu00073	
Otu00074	
Otu00075	
Otu00076	
Otu00077	
Otu00078	
Otu00079	
Otu00080	
Otu00081	
Otu00082	
Otu00083	
Otu00084	
Otu00085	
Otu00086	
Otu00087	
Otu00088	
Otu00089	
Otu00090	
Otu00091	
Otu00092	
Otu00093	
Otu00094	
Otu00095	
Otu00096	
Otu00097	
Otu00098	
Otu00099	
Otu00100	
Otu00101	
Otu00102	
Otu00103	
Otu00104	
Otu00105	
Otu00106	
Otu00107	
Otu00108	
Otu00109	
Otu00110	
Otu00111	
Otu00112	
Otu00113	
Otu00114	
Otu00115	
Otu00116	
Otu00117	
Otu00118	
Otu00119	
Otu00120	
Otu00121	
Otu00122	
Otu00123	
Otu00124	
Otu00125	
Otu00126	
Otu00127	
Otu00128	
Otu00129	
Otu00130	
Otu00131	
Otu00132	
Otu00133	
Otu00134	
Otu00135	
Otu00136	
Otu00137	
Otu00138	
Otu00139	
Otu00140	
Otu00141	
Otu00142	
Otu00143	
Otu00144	
Otu00145	
Otu00146	
Otu00147	
Otu00148	
Otu00149	
Otu00150	
Otu00151	
Otu00152	
Otu00153	
Otu00154	
Otu00155	
Otu00156	
Otu00157	
Otu00158	
Otu00159	
Otu00160	
Otu00161	
Otu00162	
Otu00163	
Otu00164	
Otu00165	
Otu00166	
Otu00167	
Otu00168	
Otu00169	
Otu00170	
Otu00171	
Otu00172	
Otu00173	
Otu00174	
Otu00175	
Otu00176	
Otu00177	
Otu00178	
Otu00179	
Otu00180	
Otu00181	
Otu00182	
Otu00183	
Otu00184	
Otu00185	
Otu00186	
Otu00187	
Otu00188	
Otu00189	
Otu00190	
Otu00191	
Otu00192	
Otu00193	
Otu00194	
Otu00195	
Otu00196	
Otu00197	
Otu00198	
Otu00199	
Otu00200	
Otu00201	
Otu00202	
Otu00203	
Otu00204	
Otu00205	
Otu00206	
Otu00207	
Otu00208	
Otu00209	
Otu00210	
Otu00211	
Otu00212	
Otu00213	
Otu00214	
Otu00215	
Otu00216	
Otu00217	
Otu00218	
Otu00219	
Otu00220	
Otu00221	
Otu00222	
Otu00223	
Otu00224	
Otu00225	
Otu00226	
Otu00227	
Otu00228	
Otu00229	
Otu00230	
Otu00231	
Otu00232	
Otu00233	
Otu00234	
Otu00235	
Otu00236	
Otu00237	
Otu00238	
Otu00239	
Otu00240	
Otu00241	
Otu00242	
Otu00243	
Otu00244	
Otu00245	
Otu00246	
Otu00247	
Otu00248	
Otu00249	
Otu00250	
Otu00251	
Otu00252	
Otu00253	
Otu00254	
Otu00255	
Otu00256	
Otu00257	
Otu00258	
Otu00259	
Otu00260	
Otu00261	
Otu00262	
Otu00263	
Otu00264	
Otu00265	
Otu00266	
Otu00267	
Otu00268	
Otu00269	
Otu00270	
Otu00271	
Otu00272	
Otu00273	
Otu00274	
Otu00275	
Otu00276	
Otu00277	
Otu00278	
Otu00279	
Otu00280	
Otu00281	
Otu00282	
Otu00283	
Otu00284	
Otu00285	
Otu00286	
Otu00287	
Otu00288	
Otu00289	
Otu00290	
Otu00291	
Otu00292	
Otu00293	
Otu00294	
Otu00295	
Otu00296	
Otu00297	
Otu00298	
Otu00299	
Otu00300	
Otu00301	
Otu00302	
Otu00303	
Otu00304	
Otu00305	
Otu00306	
Otu00307	
Otu00308	
Otu00309	
Otu00310	
Otu00311	
Otu00312	
Otu00313	
Otu00314	
Otu00315	
Otu00316	
Otu00317	
Otu00318	
Otu00319	
Otu00320	
Otu00321	
Otu00322	
Otu00323	
Otu00324	
Otu00325	
Otu00326	
Otu00327	
Otu00328	
Otu00329	
Otu00330	
Otu00331	
Otu00332	
Otu00333	
Otu00334	
Otu00335	
Otu00336	
Otu00337	
Otu00338	
Otu00339	
Otu00340	
Otu00341	
Otu00342	
Otu00343	
Otu00344	
