otus	freshwater	soda	soda-saline	saline	tax	type
Otu00001	1	0	0	0	alfV	freshwater
Otu00002	0	1	1	1	acIII	soda,soda-saline,saline
Otu00003	0	1	1	0	Luna1	soda,soda-saline
Otu00004	0	1	1	1	Rhodobacteraceae	soda,soda-saline,saline
Otu00005	0	1	1	0	Comamonadaceae	soda,soda-saline
Otu00006	0	0	1	1	Rhodobacteraceae	soda-saline,saline
Otu00007	0	0	0	1	Luna1	saline
Otu00009	1	0	0	0	acI	freshwater
Otu00011	1	0	0	1	acI	freshwater,saline
Otu00012	0	0	0	1	Nitrococcaceae	saline
Otu00013	0	0	0	1	Halomonadaceae	saline
Otu00014	0	0	0	1	Halomonadaceae	saline
Otu00015	0	1	1	0	Cyanobiaceae	soda,soda-saline
Otu00016	1	1	0	0	bacII	freshwater,soda
Otu00021	1	0	0	0	acI	freshwater
Otu00022	1	0	0	0	GWA2-38-13b_fa	freshwater
Otu00025	0	0	1	0	Methylophilaceae	soda-saline
Otu00027	0	1	1	0	Nitriliruptoraceae	soda,soda-saline
Otu00028	0	1	1	0	Luna1	soda,soda-saline
Otu00029	0	0	0	1	Ilumatobacteraceae	saline
Otu00031	1	0	0	0	bacIII	freshwater
Otu00034	1	0	0	0	bacV	freshwater
Otu00035	0	0	1	0	Nitriliruptoraceae	soda-saline
Otu00036	0	0	0	1	betVI	saline
Otu00041	1	0	0	0	betI	freshwater
Otu00043	1	0	0	0	betI	freshwater
Otu00044	0	0	0	1	Rhodobacteraceae	saline
Otu00046	0	0	0	1	Nitriliruptoraceae	saline
Otu00047	0	0	0	1	Clade_III	saline
Otu00048	0	1	0	0	betI	soda
Otu00050	0	1	0	0	Luna1	soda
Otu00052	0	0	0	1	Flavobacteriaceae	saline
Otu00053	1	0	0	0	unclassified	freshwater
Otu00054	0	1	1	0	NS11-12_marine_group	soda,soda-saline
Otu00055	1	0	0	0	acIV	freshwater
Otu00056	0	1	1	0	betVI	soda,soda-saline
Otu00057	0	0	0	1	Rhodobacteraceae	saline
Otu00059	0	0	1	0	Ilumatobacteraceae	soda-saline
Otu00061	0	0	0	1	Cyclobacteriaceae	saline
Otu00062	1	1	0	0	betII	freshwater,soda
Otu00064	1	0	0	0	bacII	freshwater
Otu00067	1	0	0	0	acI	freshwater
Otu00071	0	1	1	0	unclassified	soda,soda-saline
Otu00072	0	1	1	0	Methylophilaceae	soda,soda-saline
Otu00073	0	0	0	1	betVI	saline
Otu00074	0	0	0	1	NS11-12_marine_group	saline
Otu00076	0	0	0	1	Crocinitomicaceae	saline
Otu00077	0	0	0	1	Nitrococcaceae	saline
Otu00080	0	1	1	0	Microscillaceae	soda,soda-saline
Otu00081	0	0	0	1	Microbacteriaceae	saline
Otu00082	0	1	1	0	betIII	soda,soda-saline
Otu00087	0	0	0	1	unclassified	saline
Otu00089	0	1	0	0	bacV	soda
Otu00091	1	0	0	0	acTH1	freshwater
Otu00093	0	1	1	0	acIV	soda,soda-saline
Otu00096	0	0	0	1	Cyanobiaceae	saline
Otu00097	1	0	0	0	betII	freshwater
Otu00098	1	0	0	0	bacVI	freshwater
Otu00099	0	0	1	0	Flavobacteriaceae	soda-saline
Otu00102	0	0	0	1	betIV	saline
Otu00103	0	1	0	0	bacVI	soda
Otu00107	0	1	0	0	Beijerinckiaceae	soda
Otu00109	0	0	1	0	Cyclobacteriaceae	soda-saline
Otu00110	0	1	0	0	Cyclobacteriaceae	soda
Otu00114	0	0	0	1	PeM15_fa	saline
Otu00115	0	0	1	0	Acidithiobacillaceae	soda-saline
Otu00117	0	0	1	0	Flavobacteriaceae	soda-saline
Otu00119	0	0	0	1	Alteromonadaceae	saline
Otu00121	0	1	1	0	Nitriliruptoraceae	soda,soda-saline
Otu00123	0	0	0	1	unclassified	saline
Otu00126	0	1	1	0	Cyanobiaceae	soda,soda-saline
Otu00127	0	1	1	0	Balneolaceae	soda,soda-saline
Otu00128	0	1	1	0	Cyclobacteriaceae	soda,soda-saline
Otu00136	0	1	1	0	betVI	soda,soda-saline
Otu00138	0	0	0	1	betIII	saline
Otu00141	1	0	0	0	Cyanobiaceae	freshwater
Otu00142	1	0	0	0	bacI	freshwater
Otu00143	0	1	1	0	Rubritaleaceae	soda,soda-saline
Otu00146	0	1	1	0	Microscillaceae	soda,soda-saline
Otu00149	0	0	1	0	unclassified	soda-saline
Otu00150	0	1	1	0	Beijerinckiaceae	soda,soda-saline
Otu00151	0	1	1	0	unclassified	soda,soda-saline
Otu00152	0	0	0	1	f__Methylacidiphilaceae	saline
Otu00153	0	1	1	0	bacII	soda,soda-saline
Otu00154	0	1	0	0	unclassified	soda
Otu00155	1	0	0	0	Rhodocyclaceae	freshwater
Otu00156	0	0	1	0	Sporichthyaceae	soda-saline
Otu00157	0	1	1	0	PeM15_fa	soda,soda-saline
Otu00158	0	0	1	0	Cyanobiaceae	soda-saline
Otu00159	0	0	1	0	acIV	soda-saline
Otu00160	0	0	1	1	Ilumatobacteraceae	soda-saline,saline
Otu00163	0	0	1	0	Pseudohongiellaceae	soda-saline
Otu00165	1	0	0	0	verI-A	freshwater
Otu00166	0	0	1	0	Nitriliruptoraceae	soda-saline
Otu00168	0	1	1	0	Rhodobacteraceae	soda,soda-saline
Otu00170	1	0	0	0	betI	freshwater
Otu00173	1	0	0	0	bacI	freshwater
Otu00177	1	1	0	0	betVII	freshwater,soda
Otu00178	0	0	0	1	Izemoplasmatales_fa	saline
Otu00179	0	1	0	0	alfVI	soda
Otu00181	0	0	0	1	Pseudoalteromonadaceae	saline
Otu00188	0	0	1	0	Balneolaceae	soda-saline
Otu00189	0	0	0	1	Flavobacteriaceae	saline
Otu00193	1	0	0	0	Luna1	freshwater
Otu00195	0	0	0	1	Sphingomonadaceae	saline
Otu00199	0	0	1	0	Nitriliruptoraceae	soda-saline
Otu00200	0	1	1	0	Rubritaleaceae	soda,soda-saline
Otu00202	0	1	1	0	Nitriliruptoraceae	soda,soda-saline
Otu00204	0	0	1	0	Saprospiraceae	soda-saline
Otu00205	0	1	1	0	Cyclobacteriaceae	soda,soda-saline
Otu00209	0	0	0	1	betIII	saline
Otu00211	1	0	0	0	Kapabacteriales_fa	freshwater
Otu00214	1	0	0	0	Comamonadaceae	freshwater
Otu00215	0	1	1	0	Phycisphaeraceae	soda,soda-saline
